Individual;rdf:type;dbc:dataLength;dbc:encodedVia;dbc:hasDecID;dbc:hasSignal;dbc:hasTransmitter;sosa:isObservedBy
BoeningI;dbc:Message;8;FuelTank01Encoding;419364865;FuelTank01;Unknown;can2_sniffer
BoeningI;dbc:Message;8;FuelTank02Encoding;419364865;FuelTank02;Unknown;can2_sniffer
BoeningI;dbc:Message;8;FuelTank05Encoding;419364865;FuelTank05;Unknown;can2_sniffer
BoeningI;dbc:Message;8;FuelTank06Encoding;419364865;FuelTank06;Unknown;can2_sniffer
BoeningII;dbc:Message;8;FuelTank07Encoding;419365121;FuelTank07;Unknown;can2_sniffer
BoeningII;dbc:Message;8;FuelTank08Encoding;419365121;FuelTank08;Unknown;can2_sniffer
BoeningII;dbc:Message;8;FuelTank15Encoding;419365121;FuelTank15;Unknown;can2_sniffer
BoeningII;dbc:Message;8;BilgeWaterTank12Encoding;419365121;BilgeWaterTank12;Unknown;can2_sniffer
BoeningIII;dbc:Message;8;FreshwaterTank14Encoding;419365377;FreshwaterTank14;Unknown;can2_sniffer
BoeningIII;dbc:Message;8;InclinationEncoding;419365377;Inclination;Unknown;can2_sniffer
BoeningIII;dbc:Message;8;EngineRoomTemperatureEncoding;419365377;EngineRoomTemperature;Unknown;can2_sniffer
BoeningIII;dbc:Message;8;FirePumpPressureEncoding;419365377;FirePumpPressure;Unknown;can2_sniffer
BoeningIV;dbc:Message;8;PortEngineAlternatorCurrentEncoding;419365633;PortEngineAlternatorCurrent;Unknown;can2_sniffer
BoeningIV;dbc:Message;8;PortGearboxLubOilTemperatureEncoding;419365633;PortGearboxLubOilTemperature;Unknown;can2_sniffer
BoeningIV;dbc:Message;8;StarboardEngineAlternatorCurrentEncoding;419365633;StarboardEngineAlternatorCurrent;Unknown;can2_sniffer
BoeningIV;dbc:Message;8;StarboardGearboxLubOilTemperatureEncoding;419365633;StarboardGearboxLubOilTemperature;Unknown;can2_sniffer
BoeningV;dbc:Message;8;AutomationBatteryVoltageEncoding;419365889;AutomationBatteryVoltage;Unknown;can2_sniffer
BoeningV;dbc:Message;8;AutomationBatteryCurrentEncoding;419365889;AutomationBatteryCurrent;Unknown;can2_sniffer
BoeningV;dbc:Message;8;BridgeBatteryVoltageEncoding;419365889;BridgeBatteryVoltage;Unknown;can2_sniffer
BoeningV;dbc:Message;8;BridgeBatteryCurrentEncoding;419365889;BridgeBatteryCurrent;Unknown;can2_sniffer
BoeningVI;dbc:Message;8;FuelTotalEncoding;419366145;FuelTotal;Unknown;can2_sniffer
BoeningVI;dbc:Message;8;StarboardFanRotationSpeedEncoding;419366145;StarboardFanRotationSpeed;Unknown;can2_sniffer
BoeningVI;dbc:Message;8;PortFanRotationSpeedEncoding;419366145;PortFanRotationSpeed;Unknown;can2_sniffer
BoeningVII;dbc:Message;8;ShoreConnectionCurrentL1Encoding;419366401;ShoreConnectionCurrentL1;Unknown;can2_sniffer
BoeningVII;dbc:Message;8;ShoreConnectionCurrentL2Encoding;419366401;ShoreConnectionCurrentL2;Unknown;can2_sniffer
BoeningVII;dbc:Message;8;ShoreConnectionCurrentL3Encoding;419366401;ShoreConnectionCurrentL3;Unknown;can2_sniffer
BoeningVII;dbc:Message;8;ShoreConnectionActivePowerEncoding;419366401;ShoreConnectionActivePower;Unknown;can2_sniffer
BoeningVIII;dbc:Message;8;ShoreConnectionConsumptionEncoding;419366657;ShoreConnectionConsumption;Unknown;can2_sniffer
BoeningVIII;dbc:Message;8;ShoreConnectionVoltageEncoding;419366657;ShoreConnectionVoltage;Unknown;can2_sniffer
BoeningVIII;dbc:Message;8;ShoreConnectionFrequencyEncoding;419366657;ShoreConnectionFrequency;Unknown;can2_sniffer
BoeningIX;dbc:Message;8;LargeAuxDieselEnginePowerEncoding;419366913;LargeAuxDieselEnginePower;Unknown;can2_sniffer
BoeningIX;dbc:Message;8;LargeAuxDieselEngineLoadEncoding;419366913;LargeAuxDieselEngineLoad;Unknown;can2_sniffer
BoeningIX;dbc:Message;8;LargeAuxDieselEngineCurrentL1Encoding;419366913;LargeAuxDieselEngineCurrentL1;Unknown;can2_sniffer
BoeningIX;dbc:Message;8;LargeAuxDieselEngineCurrentL2Encoding;419366913;LargeAuxDieselEngineCurrentL2;Unknown;can2_sniffer
BoeningX;dbc:Message;8;LargeAuxDieselEngineCurrentL3Encoding;419367169;LargeAuxDieselEngineCurrentL3;Unknown;can2_sniffer
BoeningX;dbc:Message;8;LargeAuxDieselEngineVoltageEncoding;419367169;LargeAuxDieselEngineVoltage;Unknown;can2_sniffer
BoeningX;dbc:Message;8;LargeAuxDieselEngineFrequencyEncoding;419367169;LargeAuxDieselEngineFrequency;Unknown;can2_sniffer
BoeningXI;dbc:Message;8;SmallAuxDieselEnginePowerEncoding;419367425;SmallAuxDieselEnginePower;Unknown;can2_sniffer
BoeningXI;dbc:Message;8;SmallAuxDieselEngineLoadEncoding;419367425;SmallAuxDieselEngineLoad;Unknown;can2_sniffer
BoeningXI;dbc:Message;8;SmallAuxDieselEngineCurrentL1Encoding;419367425;SmallAuxDieselEngineCurrentL1;Unknown;can2_sniffer
BoeningXI;dbc:Message;8;SmallAuxDieselEngineCurrentL2Encoding;419367425;SmallAuxDieselEngineCurrentL2;Unknown;can2_sniffer
BoeningXII;dbc:Message;8;SmallAuxDieselEngineCurrentL3Encoding;419367681;SmallAuxDieselEngineCurrentL3;Unknown;can2_sniffer
BoeningXII;dbc:Message;8;SmallAuxDieselEngineVoltageEncoding;419367681;SmallAuxDieselEngineVoltage;Unknown;can2_sniffer
BoeningXII;dbc:Message;8;SmallAuxDieselEngineFrequencyEncoding;419367681;SmallAuxDieselEngineFrequency;Unknown;can2_sniffer
BoeningXIII;dbc:Message;8;SmallAuxDieselEngineLubOilPressureEncoding;419367937;SmallAuxDieselEngineLubOilPressure;Unknown;can2_sniffer
BoeningXIII;dbc:Message;8;SmallAuxDieselEngineCoolWaterTemperatureEncoding;419367937;SmallAuxDieselEngineCoolWaterTemperature;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;Wastewater25PercentEncoding;419368193;Wastewater25Percent;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;Wastewater50PercentEncoding;419368193;Wastewater50Percent;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;Wastewater75PercentEncoding;419368193;Wastewater75Percent;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;Wastewater90PercentEncoding;419368193;Wastewater90Percent;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;KFWAPumpPowerIndicatorEncoding;419368193;KFWAPumpPowerIndicator;Unknown;can2_sniffer
BoeningXIV;dbc:Message;8;TankAlarmActiveEncoding;419368193;TankAlarmActive;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;LargeAuxDieselEngineHydraulicActiveEncoding;419368449;LargeAuxDieselEngineHydraulicActive;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;ShoreConnectionOnEncoding;419368449;ShoreConnectionOn;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;LargeAuxDieselEngineGSLEncoding;419368449;LargeAuxDieselEngineGSL;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;SmallAuxDieselEngineGSLEncoding;419368449;SmallAuxDieselEngineGSL;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;LargeAuxDieselEngineAutomaticModeEncoding;419368449;LargeAuxDieselEngineAutomaticMode;Unknown;can2_sniffer
BoeningXV;dbc:Message;8;SmallAuxDieselEngineAutomaticModeEncoding;419368449;SmallAuxDieselEngineAutomaticMode;Unknown;can2_sniffer
